"","C_Name","Cnum","Continent","Landareasqkm","eez_areasqkm","Admin_code","A_Name","CCode","HDI","L_exp","Pop8085k","Pop1015k","Popchangek","PopChangePC","MBAqua8084","MBAqua1014","FWAqua8084","FWAqua1014","MarCap8084","MarCap1014","FWCap8084","FWCap1014","Aqua8084","Aqua1014","bird_tot_Threat","bird_prp_Threat","Agri_Dep","Fish_Dep","adaptive_C","healthy_life","crops_RC","CatchinEEZ","thr_pred_n","thr_data_n","thr_crit_n","thr_pred_prp","thr_data_prp","thr_crit_prp","eez_name","MultiRelC","TradeImport8084","TradeImport1013","tradez_TradeExp8084","tradez_TradeExp1013","TradeReex8084","TradeReex1013","thr_pred_prp2","thr_pred_n2","rcp26","rcp45","rcp60","rcp85","rcp26dis","rcp45dis","rcp60dis","rcp85dis","RCP60L10EEZ","RCP26L10EEZ","RCP45L10EEZ","RCP85L10EEZ","Avail8084","Avail1014","AvailPCap8084","AvailPCap1014","AvailPCChange","Mean_Threat","Rel_Sea","Balance_Threat","log10fishc","log10cropc","Total_Threat","Balance_Dep","Total_Dep","SE","V","Vland","Vsea","Balance_V","E","Balance_E","CCcat","HDIcat","Balance_Threat_prp","thr_pred_prp_cat","Fish_Dep_cat","extremes","EEZ","ISO_3digit","WeightedThreat","CR","DDTHR","EN","VU","SpeciesRichness","THRrichness","PropTHR"
"1","Albania",8,"Europe",27398,11125,8,"Albania","ALB",0.732765803,77.8,2824,2899.5,76,2.69122,492.4,1770.24,278,444.6,8468.095577,7879.597932,2761.6,735.6,770.4,770.4,10,0.0364,0.473677574,0.005564029,0.58207607,0.822857143,1.271150125,8237.88384,28,26,9,0.511838196,0.475278325,0.16451942,11125,0.957309984,0,10098.55,123,4708.95,0,0,0.509090909,28,0.098242735,0.117713101,0.104196845,0.087209318,0,0,0,0,0.0059675,-0.00901,-0.0391075,-0.017468571,11877.095577,16219.637932,4.20577038845609,5.59394307018452,33.0063829813119,0.274119098,0.475438196,0.736842105263158,-0.0189474117088926,0.104196844502804,38,0.0116100709228285,0.479241603,1.26750641870456,0.534740615704559,-0.130650495600203,-0.727439302487034,0.596788806886831,2.228460109,0.429583630478171,"sea","high",0.933605501649506,"[0.5,0.75)","[0,0.1)",NA,"Albanian Exclusive Economic Zone","ALB",0.070348799,2,2,7,17,55,28,0.509090909
"2","Algeria",12,"Africa",2381741,128276,12,"Algeria","DZA",0.735623767,74.8,20952,37851.5,16900,80.66056,16.08,576.834,17,1673.644,82717.90479,132124.8793,0.2,0.2,33.08,33.08,14,0.0486,0.255775197,0.004814284,NA,0.737142857,0.875368953,105595.9145,33.17168194,30.56429716,11.56429716,0.497962093,0.458912134,0.173468522,128276,0.904829413,24939.56,30220.85,129.8,1350.9,0,0,0.5,35,-0.117007457,-0.120360531,-0.057808861,-0.116145008,0,0,1,0,-0.038183333,-0.051299231,-0.040391667,-0.079122308,107560.94479,163245.5073,5.13368388650248,4.31278832542964,-15.9903799926432,0.2732810465,0.449362093,0.703211769768835,-0.0434332903814789,-0.057808860715696,47.17168194,0.018474590691556,0.260589481,0.875913222940085,0.140289455940085,-0.511726100598741,-0.731267661234265,0.219541560635523,1.780198366,0.508274487990402,"both","high",0.911080551281481,"[0.25,0.5)","[0,0.1)",NA,"Algerian Exclusive Economic Zone","DZA",0.841522074,4,3,9,19,70,35,0.5
"3","Angola",24,"Africa",1246700,490492,24,"Angola","AGO",0.531591422,52.3,8978.5,23121,14142,157.50961,0,0,0,309,134258.4982,476692.3761,7500,14163.4,0,0,26,0.0297,NA,0.033913308,NA,0.094285714,0.927657193,382552.1712,16.88776854,14.600778,3.937703153,0.457978924,0.42126173,0.068884409,490492,0.847130097,64197.4,83938.25,0,4078.45,0,0,0.444444444,36,-0.015833653,-0.028402922,-0.032612483,-0.104643474,0,0,1,0,-0.071431731,-0.069012951,-0.074775385,-0.159229508,205955.8982,571024.5761,22.9387869020438,24.6972265948705,7.66579200694361,0.243839462,0.428278924,0.393766547314052,-0.0720498882873588,-0.0326124835801924,42.88776854,NA,NA,NA,NA,NA,-0.502862438104369,NA,1.77478729,0.477313592323506,"both","low",0.939099275079601,"[0.25,0.5)","[0,0.1)",NA,"Angolan Exclusive Economic Zone","AGO",1.286995557,4,7,6,19,81,36,0.444444444
"4","Argentina",32,"South America",2736690,1081597,32,"Argentina","ARG",0.835572018,76.3,29247.5,42320,13072,44.69442,0,148.1,122.2,3179.776,495651.8935,1060662.815,512.4,0,122.2,122.2,51,0.0559,0.11093505,0.002370816,NA,0.78,0.970375435,1084267.412,15.55313255,13.81824601,2.737571625,0.481158247,0.429092869,0.068106099,1081597,0.890753194,13034.32,43920.95,173959.88,460838.25,0,0,0.387096774,36,-0.014050256,-0.024395186,-0.013060206,-0.087558859,1,0,0,0,-0.048917444,0.001299266,-0.042416617,-0.007074237,335360.9335,647073.391,11.4663110864176,15.2900139650284,33.3472801303992,0.2685291235,0.425258247,0.233694973535848,-0.0502426117116218,-0.0130602061429079,66.55313255,0.0209240358305897,0.113305866,0.968709416376404,0.133137398376404,-0.727923370599503,-0.833460206075614,0.10553683547611,1.861128629,0.478609151522541,"both","very high",0.895914455625146,"[0.25,0.5)","[0,0.1)",NA,"Argentinean Exclusive Economic Zone","ARG",7.608442049,4,4,6,22,93,36,0.387096774
"5","Australia",36,"Oceania",7682300,8148250,36,"Australia","AUS",0.93495825,82.4,15249.5,23066,7816,51.25414,8130.6,76776.172,841.64,966.24,549762.5994,540795.529,1723.6,1166.8,8972.24,8972.24,50,0.0829,0.154318532,0.008057746,NA,0.954285714,0.94214647,545407.3011,17.54386029,16.50779382,2.151916903,0.377774702,0.363983993,0.028611564,6923185,0.857597182,84745.24,292144.3,40783,45236.1,0,0,0.22392638,73,-0.007826558,-0.026942826,-0.025881575,-0.087352145,0,1,0,0,-0.055441716,-0.043739963,-0.061058418,-0.07007935,604420.6794,866612.941,39.6354424341782,37.5710110552328,-5.2085488445694,0.230337351,0.294874702,0.259740266764075,-0.0667166547080458,-0.0258815747359079,67.54386029,0.0496239111971762,0.162376278,0.937950803640503,0.00299255364050344,-0.789567589820618,-0.928047949737128,0.13848035991651,1.799743652,0.476510741430858,"both","very high",0.820046554238613,"[0.25,0.5)","[0,0.1)",NA,"Australian Exclusive Economic Zone","AUS",25.48500919,4,13,11,45,326,73,0.22392638
"6","Bahamas",44,"North America",10010,593739,44,"Bahamas","BHS",0.78995806,75.4,220,372,152,69,0,0,0,0,68035.5595,73955.28259,0.2,0.2,0,0,7,0.0304,NA,0.177304519,NA,0.754285714,0.174973305,66275.76587,16.44074873,15.1433165,2.728490041,0.433689645,0.410661603,0.049961312,593739,0.908690972,1055.2,3822.75,1036.8,2772.1,5.28,1.15,0.233009709,24,-0.742456276,-0.770241975,-0.757028204,-1.024624941,0,0,0,0,-0.032373175,-0.04259039,-0.044575714,-0.043091688,68048.8795,75004.98259,309.313088636364,201.626297284946,-34.8148188058142,0.2320448225,0.403289645,0.701374726523081,-0.0415837867158977,-0.7570282048882,23.44074873,NA,NA,NA,NA,NA,-0.628843044289898,NA,1.083664277,0.838535505217175,"both","high",0.934495414134914,"[0.25,0.5)","[0.1,0.2)",NA,"Bahamas Exclusive Economic Zone","BHS",0.395468507,2,4,2,16,103,24,0.233009709
"7","Bangladesh",50,"Asia",130170,82763,50,"Bangladesh","BGD",0.570099974,71.6,87189.5,156306.5,69117,79.27216,10306.4,151449.6,92386.6,1523565,180978.6714,956681.7231,457155.6,950930.2,102693,102693,34,0.0589,0.5092292,0.118920501,NA,0.645714286,0.856511776,710596.0285,28.9465108,28.08767752,7.315338277,0.458263393,0.445997096,0.107936436,82763,0.914334504,18.32,30280.4,12435.64,85149.2,0,0,0.4625,37,-0.044615948,-0.07548932,-0.067266662,-0.138651064,0,0,0,0,-0.0322025,-0.011704375,-0.0369975,-0.03191375,728409.9514,3527757.7231,8.35433109950166,22.5694883008704,170.153146099473,0.2585816965,0.399363393,0.459858861628912,-0.038894891066557,-0.0672666616340675,62.9465108,0.189318725792086,0.628149701,0.867458701186782,0.297358727186782,-0.133939167516941,-0.461366856702733,0.327427689185793,1.77084628,0.516326297955122,"both","med",0.886109494992814,"[0.25,0.5)","[0.1,0.2)","Bangladesh","Bangladeshi Exclusive Economic Zone","BGD",0.412333779,4,2,5,26,80,37,0.4625
"8","Barbados",52,"North America",430,183900,52,"Barbados","BRB",0.785458413,75.6,254,282,28,11,0,0,0,11.6,7551.570134,5768.243327,0.2,0.2,0,0,2,0.0116,0.207226959,0.148874996,NA,0.76,0.19179508,4224.620243,9.889861045,9.747338323,1.204493322,0.465524311,0.462337564,0.02952996,183900,0.810512377,1956.4,5692.8,12.28,128.55,7.2,10.7,0.357142857,15,-0.695287058,-0.730142807,-0.717162538,-0.842927039,0,0,0,0,-0.079509615,-0.071922308,-0.069491538,-0.097440385,9488.690134,11333.593327,37.3570477716535,40.1900472588652,7.58357433523262,0.2385621555,0.453924311,0.831789455534381,-0.0912403488330349,-0.717162537708926,11.889861045,0.418068460197024,0.356101955,0.450461267654055,-0.334997145345945,-0.745713301820438,-0.664793386116174,-0.0809199157042638,1.002307457,0.808646460065197,"both","high",0.975687677754907,"[0.25,0.5)","[0.1,0.2)","Barbados","Barbados Exclusive Economic Zone","BRB",0.014374142,3,2,1,9,42,15,0.357142857
"9","Belgium",56,"Europe",30278,3465,56,"Belgium","BEL",0.890262992,80.8,9875,11114.5,1240,12.55696,0,0,201.08,268.6,49764.59313,25026.13124,0.2,196,201.08,201.08,8,0.0364,0.05422274,0.000338384,NA,0.908571429,1.2625968,1294.447677,11,9,1,0.387431191,0.316989156,0.035221017,3465,NA,204774.92,311991.25,63267.64,162483.9,0,0,0.423076923,11,0.08529698,0.126614894,0.101264684,0.109162444,0,0,0,0,NA,NA,NA,NA,191473.15313,174998.08124,19.3896863929114,15.7450250789509,-18.7969069746941,0.2119155955,0.351031191,0.578947368421053,NA,0.101264684291111,19,0.00620192501899338,0.054561124,NA,NA,-0.821801533988768,NA,NA,NA,NA,NA,"very high",0.914116750317227,"[0.25,0.5)","[0,0.1)",NA,"Belgian Exclusive Economic Zone","BEL",0.005286192,1,2,NA,8,26,11,0.423076923
"10","Belize",84,"North America",22806,35601,84,"Belize","BLZ",0.714982235,70,154.5,340.5,186,120.38835,0.04,6373.012,0,176.6,3201.164823,50533.06849,16.4,0.2,0.04,0.04,5,0.0096,0.301580097,0.086849434,0.483692824,0.6,0.653674765,8322.034121,17.82880855,13.85867975,4.858679748,0.329502448,0.256159325,0.089734946,35601,NA,166.88,367.2,658.08,6640.45,2.04,0.1,0.345454545,19,-0.176929013,-0.222138194,-0.184638281,-0.294289277,0,0,0,0,-0.10543,-0.052345,-0.09723,-0.0290725,2724.364823,50809.53049,17.6334292750809,149.220353861968,746.235587724515,0.169551224,0.319902448,0.780978495261856,NA,-0.184638280573001,22.82880855,0.223591223294503,0.388429531,NA,NA,-0.517846935964848,NA,NA,NA,NA,NA,"high",0.971689971403568,"[0.25,0.5)","[0,0.1)","Belize","Belizean Exclusive Economic Zone","BLZ",0.070539145,3,5,2,9,55,19,0.345454545
